Activity Year, Respondent ID, Agency Code, Federal Tax ID, Respondent Name, Respondent Mailing Address, Respondent City, Respondent State, Respondent ZIP Code, Parent Name, Parent Address, Parent City, Parent State, Parent ZIP Code, Respondent Name (Panel), Respondent City (Panel), Respondent State (Panel), Assets, Other Lender Code, Region Code, LAR Count, Validity Error
2015,0000024737,1,35-2295004,SOLERA NATIONAL BANK,319 S SHERIDAN BLVD,LAKEWOOD,CO,80226,,,,,,SOLERA NB,LAKEWOOD,CO,144673,0,4,8,N
2015,0000024744,1,20-8805817,BUSINESS BANK OF TEXAS  N.A.,1910 W. BRAKER LANE  BLDG 3  SUITE 100,AUSTIN,TX,78758,,,,,,BUSINESS BK TX NA,AUSTIN,TX,113809,0,2,5,N
2015,0000024749,1,20-5965410,GREEN BANK  N.A.,4000 GREENBRIAR,HOUSTON,TX,77098,GREEN BANKCORP,4000 GREENBRIAR,HOUSTON,TX,77098,GREEN BK NA,HOUSTON,TX,2189079,0,2,268,N
2015,0000024755,1,20-8219870,CHAIN BRIDGE BANK N.A.,!445-A LAUGHLIN AVE,MCLEAN,VA,22101,CHAIN BRIDGE BANCORP  INC.,1445 A LAUGHLIN AVE,MCLEAN,VA,22101,CHAIN BRIDGE BK NA,MC LEAN,VA,337330,0,1,113,N
2015,0000024758,1,20-8946434,FIRST AMERICAN BANK N.A.,2424 MONETARY BLVD  STE 107,HUDSON,WI,54016,,,,,,FIRST AMER BK NA,HUDSON,WI,174517,0,3,79,N
2015,0000024777,1,26-1253876,EMPIRE NATIONAL BANK,1707 VETERANS HIGHWAY  SUITE 8,ISLANDIA,NY,11749,,,,,,EMPIRE NAT BK,ISLANDIA,NY,508031,0,1,38,N
2015,0000024789,1,26-1837149,TOUCHMARK NATIONAL BANK,3651 OLD MILTON PARKWAY,ALPHARETTA,GA,30005,,,,,,TOUCHMARK NB,ALPHARETTA,GA,160890,0,2,5,N
2015,0000024798,1,26-1341163,BLACK HILLS COMMUNITY BANK  NA,840 MOUNT RUSHMORE RD,RAPID CITY,SD,57701,,,,,,BLACK HILLS CMNTY BK NA,RAPID CITY,SD,157078,0,4,324,N
2015,0000024827,1,26-1677906,THE MINT NATIONAL BANK,1213 KINGWOOD DRIVE,KINGWOOD,TX,77339,,,,,,MINT NB,KINGWOOD,TX,65668,0,2,23,N
2015,0000024833,1,26-2000576,SUMMIT BANK  N. A.,PO BOX 15428,PANAMA CITY,FL,32406,SUMMIT FINANCIAL ENTERPRISES ,101 W 23RD STREET,PANAMA CITY,FL,32405,SUMMIT BK NA,PANAMA CITY,FL,321381,0,2,41,N
2015,0000024849,1,26-2656117,OAK VIEW NATIONAL BANK,128 BROADVIEW AVENUE,WARRENTON,VA,20186,,,,,,OAK VIEW NB,WARRENTON,VA,172965,0,1,75,N
2015,0000024858,1,26-2754533,NEW HORIZON BANK  N.A.,2501 ANDERSON HIGHWAY,POWHATAN,VA,23139,,,,,,NEW HORIZON BK NA,POWHATAN,VA,56966,0,1,28,N
2015,0000024861,1,80-0291968,COASTAL CAROLINA NATIONAL BANK,1012 38TH AVE N SUITE 100,MYRTLE BEACH SC,SC,29577,COASTAL CAROLINA BANCSHARES,1012 38TH AVE N SUITE 100,MYRTLE BEACH,SC,29577,COASTAL CAROLINA NB,MYRTLE BEACH,SC,148082,0,1,258,N
2015,0000024891,1,23-1298421,FULTON BANK  NA,ONE PENN SQUARE,LANCASTER,PA,17604,FULTON FINANCIAL CORPORATION,1 PENN SQ,LANCASTER,PA,17604,FULTON BK NA,LANCASTER,PA,9499104,0,1,4137,N
2015,0000024904,1,27-0274638,FIRST COMMONS BANK  N.A.,718 BEACON STREET,NEWTON,MA,02459,,,,,,FIRST COMMONS BK NA,NEWTON CENTER,MA,253298,0,1,99,N
2015,0000024947,1,27-1732978,FLORIDA COMMUNITY BANK  N.A.,2500 WESTON RD ST 300,WESTON,FL,33331,BOND STREET HOLDINGS  INC.,2500 WESTON RD ST 300,WESTON,FL,33331,FLORIDA CMNTY BK NA,WESTON,FL,5833874,0,2,2324,N
2015,0000024994,1,51-0678201,NBH BANK  N.A.,1111 MAIN  SUITE 2700,KANSAS CITY,MO,64105,NATIONAL BANK HOLDINGS COMPANY,7800 EAST ORCHARD SUITE 300,GREENWOOD VILLAGE,CO,80111,NBH BK NA,KANSAS CITY,MO,4800524,0,4,3163,N
2015,0000025053,1,75-0308240,GUARANTY BANK & TRUST  NA,100 W ARKANSAS ST,MT PLEASANT,TX,75455,,,,,,GUARANTY B&TC NA,MOUNT PLEASANT,TX,1333577,0,2,1008,N
2015,0000025080,1,95-6047013,BANC OF CALIFORNIA  NA,18500 VON KARMAN AVENUE SUITE 1100,IRVINE,CA,92612,BANC OF CALIFORNIA  INC.,18500 VON KARMAN SUITE 1100,IRVINE,CA,92612,BANC OF CA NA,IRVINE,CA,5958502,0,4,26800,N
2015,0000025088,1,39-0859926,CITIZENS COMMUNITY FEDERAL NA,219 FAIRFAX STREET,ALTOONA,WI,54720,,,,,,CITIZENS CMNTY FED NA,ALTOONA,WI,571276,0,3,334,N
2015,0000025093,1,31-1253766,NATIONAL COOPERATIVE BANK  N.A,139 SOUTH HIGH STREET,HILLSBORO,OH,45139,,,,,,NATIONAL CO-OP BK NA,HILLSBORO,OH,1846892,0,3,1586,N
2015,0000025094,1,37-0259310,FIRST CLOVER LEAF BANK  N.A.,6814 GOSHEN ROAD,EDWARDSVILLE,IL,62025,,,,,,FIRST CLOVER LEAF BK NA,EDWARDSVILLE,IL,607442,0,3,383,N
2015,0000080061,1,94-1713471,SHANGHAI CMRL BANK NY BR,125 EAST 56TH STREET,NEW YORK,NY,10022,,,,,,SHANGHAI CMRL BK NY BR,NEW YORK,NY,0,0,1,18,N
2015,0000080071,1,13-5357855,ROYAL BANK OF CANADA,1211 AVENUE OF THE AMERICAS,NEW NORK,NY,10036,,,,,,ROYAL BK OF CANADA NY BR,NEW YORK,NY,2770836,0,1,4,N
2015,0000080087,1,95-3900097,WING LUNG BANK LTD LA BRANCH,520 NEWPORT CENTER DIRVE SUITE 1600,NEWPORT BEACH,CA,92660,,,,,,WING LUNG BK LA BR,ALHAMBRA,CA,412701,0,4,1,N
2015,0000080122,1,98-0186363,UBS AG  TAMPA BRANCH,3000 BAYPORT DRIVE  #100,TAMPA,FL,33607,,,,,,UBS AG TAMPA BR,TAMPA,FL,9378,0,2,1404,N
2015,0000700007,1,56-0358476,PIEDMONT FEDERAL SAVINGS BANK,PO BOX 215,WINSTON-SALEM,NC,27102-0215,,,,,,PIEDMONT FSB,WINSTON SALEM,NC,920117,0,1,558,N
2015,0000700041,1,34-4239952,FIRST FEDERAL BANK OF OHIO,140 N COLUMBUS STREET,GALION,OH,44833,,,,,,FIRST FED BK OF OH,GALION,OH,237290,0,3,357,N
2015,0000700057,1,72-0214680,HOME FEDERAL BANK,624 MARKET ST,SHREVEPORT,LA,71101,,,,,,HOME FED BK,SHREVEPORT,LA,346656,0,2,541,N
2015,0000700108,1,36-1558290,NORTH SHORE TRUST & SAVINGS,700 S. LEWIS AVENUE,WAUKEGAN,IL,60085,,,,,,NORTH SHORE T&S,WAUKEGAN,IL,244019,0,3,273,N
2015,0000700133,1,72-0184630,FIFTH DISTRICT SAVINGS BANK,4000 GENERAL DEGAULLE DRIVE,NEW ORLEANS,LA,70114,,,,,,FIFTH DIST SVG BK,NEW ORLEANS,LA,386151,0,2,230,N
2015,0000700143,1,56-0440967,WAKE FOREST FEDERAL,302 S BROOKS ST,WAKE FOREST,NC,27587,WAKE FOREST BANCSHARES INC,302 SOUTH  BROOKS ST,WAKE FOREST,NC,27587,WAKE FOREST FS&LA,WAKE FOREST,NC,112541,0,1,24,N
2015,0000700165,1,72-0179472,MUTUAL SAVINGS AND LOAN ASSN,2900 CLEARVIEW PKWY,METAIRIE,LA,70006,,,,,,MUTUAL S&LA,METAIRIE,LA,38441,0,2,53,N
2015,0000700244,1,36-1893040,UNION FEDERAL SAVINGS AND LOAN,104 N TREMONT ST,KEWANEE,IL,61443,,,,,,UNION FS&LA,KEWANEE,IL,108188,0,3,76,N
2015,0000700257,1,45-0138060,GATE CITY BANK,500 2ND AVE N,FARGO,ND,58102,,,,,,GATE CITY BK,FARGO,ND,1771679,0,3,4621,N
2015,0000700311,1,31-4176480,FAIRFIELD FS & LA,111 E MAIN ST  PO BOX 728,LANCASTER,OH,43130-0728,N/A,N/A,N/A,OH,43130,FAIRFIELD FS&LA,LANCASTER,OH,253229,0,3,334,N
2015,0000700358,1,36-1788644,A J SMITH FEDERAL SAVINGS BANK,14757 S CICERO AVE,MIDLOTHIAN,IL,60445,,,,,,A J SMITH FSB,MIDLOTHIAN,IL,217133,0,3,86,N
2015,0000700416,1,23-0835060,MALVERN FEDERAL SAVINGS BANK,P.O. BOX 485,PAOLI,PA,19301,,,,,,MALVERN FSB,PAOLI,PA,596193,0,1,106,N
2015,0000700450,1,85-0065555,PIONEER BANK,3000 N. MAIN ST. / P. O. BOX 130,ROSWELL,NM,88201,PIONEER BANCORP  INC.,3000 N. MAIN ST./ P.O. BOX 130,ROSWELL,NM,88201,PIONEER BK,ROSWELL,NM,673205,0,4,996,N
2015,0000700470,1,55-0199620,HUNTINGTON FEDERAL,1049 5TH AVE,HUNTINGTON,WV,25701,,,,,,HUNTINGTON FSB,HUNTINGTON,WV,541579,0,1,296,N
2015,0000700495,1,25-0740025,PROGRESSIVE-HOME FEDERAL SAVIN,820 WARRINGTON AVE,PITTSBURGH,PA,15210,,,,,,PROGRESSIVE-HOME FS&LA,PITTSBURGH,PA,53502,0,1,24,N
2015,0000700528,1,37-0331310,HOME FEDERAL S & L ASSOC OF CO,100 E. CLAY ST.,COLLINSVILLE,IL,62234,,,,,,HOME FS&LA,COLLINSVILLE,IL,92601,0,3,41,N
2015,0000700529,1,36-0881960,CENTRAL FEDERAL SAVINGS,1601 W BELMONT AVE,CHICAGO,IL,60657,,,,,,CENTRAL FS&LA,CHICAGO,IL,97309,0,3,50,N
2015,0000700544,1,04-1339492,FOXBORO FEDERAL SAVINGS,1 CENTRAL STREET,FOXBORO,MA,02035,,,,,,FOXBORO FED SVGS,FOXBORO,MA,152488,0,1,148,N
2015,0000700566,1,41-0145082,RIVERWOOD BANK,214 5TH ST  PO BOX 458,BEMIDJI,MN,56619,GREAT RIVER HOLDING COMPANY,14091 BAXTER DR #117,BAXTER,MN,56425,RIVERWOOD BK,BEMIDJI,MN,319997,0,3,290,N
2015,0000700670,1,48-0160040,CAPITOL FEDERAL SAVINGS BANK,700 S KANSAS AVE,TOPEKA,KS,66603-3809,,,,,,CAPITOL FSB,TOPEKA,KS,9070573,0,4,7022,N
2015,0000700691,1,36-1649006,PROSPECT FEDERAL SAVINGS BANK,11139 S. HARLEM AVE.,WORTH,IL,60482-1817,,,,,,PROSPECT FSB,WORTH,IL,247395,0,3,31,N
2015,0000700709,1,31-0471850,GUARDIAN SAVINGS BANK  FSB,6100 WEST CHESTER RD,WEST CHESTER,OH,45069,,,,,,GUARDIAN SVG BK FSB,WEST CHESTER,OH,800639,0,3,8102,N
2015,0000700773,1,56-0138905,BELMONT FEDERAL SAVINGS & LOAN,210 PARK ST,BELMONT,NC,28012,,,,,,BELMONT FS&LA,BELMONT,NC,94965,0,1,68,N
2015,0000700805,1,36-1114095,PARK FEDERAL SAVINGS BANK,5400 SOUTH PULASKI ROAD,CHICAGO,IL,60632,,,,,,PARK FSB,CHICAGO,IL,156240,0,3,14,N
2015,0000700827,1,31-0251310,COVINGTON SAVINGS & LOAN ASSOC,PO BOX 188,COVINGTON,OH,45318-0188,,,,,,COVINGTON S&LA,COVINGTON,OH,62815,0,3,60,N
2015,0000700890,1,72-0214660,HOME BANK  NA,503 KALISTE SALOOM RD,LAFAYETTE,LA,70598-1459,,,,,,HOME BK,LAFAYETTE,LA,1221357,0,2,1204,N
2015,0000700904,1,37-0223930,COLLINSVILLE,701 BELT LINE ROAD,COLLINSVILLE,IL,62234,,,,,,COLLINSVILLE B&LA,COLLINSVILLE,IL,119816,0,3,94,N
2015,0000701149,1,04-1980523,WINTER HILL BANK FSB,342 BROADWAY,SOMERVILLE,MA,02145,,,,,,WINTER HILL BK,SOMERVILLE,MA,306972,0,1,238,N
2015,0000701158,1,31-0481480,WARSAW FEDERAL,3533 WARSAW AVENUE,CINCINNATI,OH,45205,,,,,,WARSAW FS&LA,CINCINNATI,OH,66709,0,3,592,N
2015,0000701260,1,34-0137475,CFBANK,3009 SMITH RD SUITE 100,FAIRLAWN,OH,44333,CENTRAL FEDERAL CORPORATION,7000 N HIGH ST,WORTHINGTON,OH,43085,CF BANK,FAIRLAWN,OH,312920,0,3,296,N
2015,0000701283,1,43-0445932,OZARKS FEDERAL SAVINGS & LOAN,2 EAST COLUMBIA STREET,FARMINGTON,MO,63640-3188,,,,,,OZARKS FS&LA,FARMINGTON,MO,208918,0,4,487,N
2015,0000701292,1,52-0318465,FRATERNITY FS&LA,764 WASHINGTON BLVD,BALTIMORE,MD,21230,,,,,,FRATERNITY FS&LA,BALTIMORE,MD,163409,0,1,55,N
2015,0000701305,1,01-0022110,AUBURN SAVINGS BANK,256 COURT ST. PO BOX 3157,AUBURN,ME,04210,,,,,,AUBURN SB FSB,AUBURN,ME,72338,0,1,120,N
2015,0000701330,1,36-1776229,MUTUAL FEDERAL BANK,2212 W CERMAK RD,CHICAGO,IL,60608,MUTUAL FEDERAL BANCORP  INC.,2212 W CERMAK RD,CHICAGO,IL,60608,MUTUAL FED BK,CHICAGO,IL,81397,0,3,30,N
2015,0000701409,1,31-0239867,CINCINNATI FEDERAL,6581 HARRISON AVE,CINCINNATI,OH,45247,CINCINNATI BANCORP,6581 HARRISON AVE,CINCINNATI,OH,45247,CINCINNATI FS&LA,CINCINNATI,OH,126016,0,3,480,N
2015,0000701412,1,34-0295420,HOME FEDERAL S&L ASSN OF  NILE,55 N MAIN STREET,NILES,OH,44446,,,,,,HOME FS&LA,NILES,OH,96777,0,3,24,N
2015,0000701437,1,21-0607451,OCEANFIRST BANK,975 HOOPER AVENUE,TOMS RIVER,NJ,08753,,,,,,OCEANFIRST BK,TOMS RIVER,NJ,2359980,0,1,14,N
2015,0000701452,1,04-1618915,MIDDLESEX FEDERAL SAVINGS  F.A,ONE COLLEGE AVE.,SOMERVILLE,MA,02144,,,,,,MIDDLESEX FED SVG FA,SOMERVILLE,MA,340333,0,1,105,N
2015,0000701472,1,14-1155583,HOMETOWN BANK OF THE HUDSON VA,12 MAIN ST.,WALDEN,NY,12586,HOMETOWN BANCORP  INC,12 MAIN ST.,WALDEN,NY,12586,HOMETOWN BK OF THE HUDSON VALL,WALDEN,NY,124979,0,1,169,N
2015,0000701532,1,73-0326130,LIBERTY FEDERAL SAVINGS BANK,401 W BROADWAY AVE,ENID,OK,73701,,,,,,LIBERTY FSB,ENID,OK,94305,0,2,73,N
2015,0000701567,1,36-0882755,CENTRAL FEDERAL SAVINGS & LOAN,5953 W CERMAK ROAD,CICERO,IL,60804-2190,,,,,,CENTRAL FS&LA,CICERO,IL,169676,0,3,61,N
2015,0000701611,1,37-0213051,FIRST FSB CHAMPAIGN URBANA,1311 SOUTH NEIL ST.,CHAMPAIGN,IL,61820,GREAT AMERICAN BANCORP  INC.,1311 SOUTH NEIL STREET,CHAMPAIGN,IL,61820,FIRST FSB CHAMPAIGN URBANA,CHAMPAIGN,IL,176571,0,3,266,N
2015,0000701669,1,35-0303170,FARMERS AND MECHANICS FEDERAL,225 EAST MAIN STREET,BLOOMFIELD,IN,47424,,,,,,FARMERS & MECHANICS FS&LA,BLOOMFIELD,IN,69400,0,3,55,N
2015,0000701673,1,04-1983105,COLONIAL FEDERAL SAVINGS BANK,15 BEACH STREET,QUINCY,MA,02170,,,,,,COLONIAL FSB,QUINCY,MA,278331,0,1,96,N
2015,0000701735,1,48-0123640,ARGENTINE FEDERAL SAVINGS,3004 STRONG AVENUE,KANSAS CITY,KS,66106,,,,,,ARGENTINE FED SVG,KANSAS CITY,KS,50637,0,4,67,N
2015,0000701830,1,31-0322700,HOME CITY FEDERAL SAVINGS BANK,2454 N. LIMESTONE ST.,SPRINGFIELD,OH,45503,,,,,,HOME CITY FSB,SPRINGFIELD,OH,151566,0,3,312,N
2015,0000701904,1,52-0242752,HAMILTON BANK,501 FAIRMOUNT AVE  SUITE 200,TOWSON,MD,21286,HAMILTON BANCORP,501 FAIRMOUNT AVE  SUITE 200,TOWSON,MD,21286,HAMILTON BK,BALTIMORE,MD,280721,0,1,77,N
2015,0000701993,1,21-0437670,DELANCO FEDERAL SAVINGS BANK,615 BURLINGTON AVENUE,DELANCO,NJ,08075,,,,,,DELANCO FSB,DELANCO,NJ,127628,0,1,59,N
2015,0000701997,1,22-0879090,CLIFTON SAVINGS BANK,1433 VAN HOUTEN AVENUE,CLIFTON,NJ,07013,CLIFTON BANCORP INC.,1433 VAN HOUTEN AVENUE,CLIFTON,NJ,07013,CLIFTON SVG BK,CLIFTON,NJ,1147666,0,1,436,N
2015,0000702054,1,22-1073770,LLEWELLYN-EDISON SAVINGS BANK,474 PROSPECT AVENUE,WEST ORANGE,NJ,07052-4112,,,,,,LLEWELLYN EDISON SVG BK FSB,WEST ORANGE,NJ,121885,0,1,3,N
2015,0000702130,1,39-0506400,NORTH SHORE BANK FSB,15700 WEST BLUEMOUND ROAD,BROOKFIELD,WI,53005-6073,,,,,,NORTH SHORE BK FSB,BROOKFIELD,WI,1777248,0,3,1102,N
2015,0000702148,1,52-0374695,CHESAPEAKE BANK OF MARYLAND,2001 E JOPPA RD,BALTIMORE,MD,21234,,,,,,CHESAPEAKE BK OF MD,PARKVILLE,MD,169888,0,1,116,N
2015,0000702190,1,25-0523055,FIRST FEDERAL S&L OF GREENE,25 EAST STREET,WAYNESBURG,PA,15370,,,,,,FIRST FED S&L ASSN GREENE CTY,WAYNESBURG,PA,900742,0,1,855,N
2015,0000702230,1,31-0285700,FOUNDATION BANK,25 GARFIELD PLACE,CINCINNATI,OH,45202,,,,,,FOUNDATION BK,CINCINNATI,OH,204863,0,3,85,N
2015,0000702319,1,22-1032860,KEARNY BANK,120 PASSAIC AVENUE,FAIRFIELD,NJ,07004,,,,,,KEARNY FSB,FAIRFIELD,NJ,3544300,0,1,734,N
2015,0000702335,1,36-1403455,LOOMIS FED SAVINGS & LOAN ASSN,6350 W 63RD STREET,CHICAGO,IL,60638-5095,,,,,,LOOMIS FS&LA,CHICAGO,IL,83860,0,3,3,N
2015,0000702349,1,52-0230272,ARUNDEL FEDERAL SAVINGS BANK,655 CRAIN HIGHWAY  S.,GLEN BURNIE,MD,21061,,,,,,ARUNDEL FSB,GLEN BURNIE,MD,466354,0,1,233,N
2015,0000702397,1,13-1733508,SUNNYSIDE FEDERAL SLA OF IRVIN,56 MAIN STREET,IRVINGTON,NY,10533,SUNNYSIDE BANCORP  INC.,56 MAIN STREET  3RD FL,IRVINGTON,NY,10533,SUNNYSIDE FS & LA OF IRVINGTON,IRVINGTON,NY,93811,0,1,12,N
2015,0000702402,1,36-1570375,BANKFINANCIAL FSB,21110 S. WESTERN AVE.,OLYMPIA FIELDS,IL,60461,BANKFINANCIAL CORPORATION,15W060 NORTH FRONTAGE ROAD,BURR RIDGE,IL,60527,BANKFINANCIAL FSB,OLYMPIA FIELDS,IL,1464011,0,3,376,N
2015,0000702454,1,22-0900560,COLUMBIA BANK,19-01 ROUTE 208,FAIR LAWN,NJ,07410,COLUMBIA FINANCIAL  INC,19-01 RT. 208,FAIR LAWN,NJ,07410,COLUMBIA BK,FAIR LAWN,NJ,4673068,0,1,2121,N
2015,0000702502,1,57-0226455,FIRST PIEDMONT FEDERAL SLA,1229 W FLOYD BAKER BLVD,GAFFNEY,SC,29341,,,,,,FIRST PIEDMONT FS&LA,GAFFNEY,SC,329416,0,1,355,N
2015,0000702518,1,41-0325766,MIDCOUNTRY BANK,2611 BLUE HERON DR.,MARION,IL,62959,MIDCOUNTRY FINANCIAL CORP.,201 SECOND ST.  STE. 950,MACON,GA,31201,MIDCOUNTRY BK,MARION,IL,702990,0,3,1348,N
2015,0000702528,1,14-1157092,WALLKILL VALLEY FEDERAL S&L,P.O. BOX 290,WALLKILL,NY,12589,,,,,,WALLKILL VALLEY FS&LA,WALLKILL,NY,172169,0,1,131,N
2015,0000702578,1,35-0309780,SECURITY FEDERAL SAVINGS BANK,314 4TH ST,LOGANSPORT,IN,46947,,,,,,SECURITY FSB,LOGANSPORT,IN,208243,0,3,347,N
2015,0000702610,1,93-0177988,EVERGREEN FEDERAL S & L ASSN,969 SE SIXTH STREET,GRANTS PASS,OR,97526,,,,,,EVERGREEN FS&LA,GRANTS PASS,OR,381890,0,4,355,N
2015,0000702620,1,38-0827186,WOLVERINE BANK FSB,5710 EASTMAN AVE,MIDLAND,MI,48640,,,,,,WOLVERINE BK FSB,MIDLAND,MI,336634,0,3,291,N
2015,0000702631,1,36-1077600,FIRST FEDERAL SAVINGS BANK,633 LASALLE STREET,OTTAWA,IL,61350,,,,,,FIRST FSB,OTTAWA,IL,377350,0,3,536,N
2015,0000702657,1,15-0263165,CARTHAGE FEDERAL SAVINGS & LOA,313 STATE STREET,CARTHAGE,NY,13619,,,,,,CARTHAGE FS&LA,CARTHAGE,NY,184899,0,1,305,N
2015,0000702808,1,55-0188195,HANCOCK CTY SVG BK FSB,351 CAROLINA AVE,CHESTER,WV,26034,,,,,,HANCOCK CTY SVG BK FSB,CHESTER,WV,352513,0,1,548,N
2015,0000702818,1,41-0318319,HOME FEDERAL SAVINGS BANK,1016 CIVIC CENTER DR NW,ROCHESTER,MN,55901,,,,,,HOME FSB,ROCHESTER,MN,576143,0,3,984,N
2015,0000702825,1,44-0246815,FIRST FEDERAL BANK  FSB,6900 N EXECUTIVE DR,KANSAS CITY,MO,64120,,,,,,FIRST FED BK FSB,KANSAS CITY,MO,463562,0,4,2583,N
2015,0000702828,1,41-0362516,LAKE CITY FEDERAL BANK,201 E MARION ST,LAKE CITY,MN,55041-1000,,,,,,LAKE CITY FED BK,LAKE CITY,MN,67420,0,3,80,N
2015,0000702887,1,62-0118775,ATHENS FEDERAL COMMUNITY BANK,106 WASHINGTON AVENUE (PO BOX 869),ATHENS,TN,37371,,,,,,ATHENS FED CMNTY BK,ATHENS,TN,302279,0,2,465,N
2015,0000702889,1,85-0142558,BANK'34,500 E 10TH ST,ALAMOGORDO,NM,88310,ALAMOGORDO FINANCIAL CORP,500 EAST TENTH STREET,ALAMOGORDO,NM,88310,BANK 34,ALAMOGORDO,NM,247645,0,4,1059,N
2015,0000702893,1,31-4265148,FIRST FEDERAL S&L OF NEWARK,2 NORTH SECOND STREET,NEWARK,OH,43055,,,,,,FIRST FS&LA,NEWARK,OH,180837,0,3,363,N
2015,0000702983,1,41-0229822,AMERICAN FEDERAL BANK,215 5TH ST N,FARGO,ND,58102,,,,,,AMERICAN FED BK,FARGO,ND,490173,0,3,352,N
2015,0000703019,1,58-0471127,FIRST FEDERAL S&L ASSOCIATION,P.O. BOX 888,VALDOSTA,GA,31603-0888,,,,,,FIRST FS&LA OF VALDOSTA,VALDOSTA,GA,164413,0,2,158,N
2015,0000703043,1,31-0389975,NEW CARLISLE FEDERAL SAVINGS B,400 N MAIN ST,NEW CARLISLE,OH,45344,,,,,,NEW CARLISLE FSB,NEW CARLISLE,OH,83576,0,3,261,N
2015,0000703069,1,39-0284766,FOX VALLEY SAVINGS BANK,51 EAST FIRST STREET,FOND DU LAC,WI,54935-1216,,,,,,FOX VALLEY SVG BK,FOND DU LAC,WI,304805,0,3,453,N
2015,0000703136,1,23-0562235,COUNTY SAVINGS BANK,412 WANAMAKER AVE,ESSINGTON,PA,19029,,,,,,COUNTY SVG BK,ESSINGTON,PA,61932,0,1,26,N
2015,0000703150,1,57-0273222,WOODRUFF FEDERAL SAVINGS & LOA,PO DRAWER 579,WOODRUFF,SC,29388,,,,,,WOODRUFF FS&LA,WOODRUFF,SC,89070,0,1,69,N
2015,0000703155,1,75-0328243,HENDERSON FEDERAL SAVINGS BANK,130 N MARSHALL ST,HENDERSON,TX,75652,,,,,,HENDERSON FSB,HENDERSON,TX,113527,0,2,103,N
2015,0000703193,1,72-0180310,EUREKA HOMESTEAD,1922 VETERANS BLVD,METAIRIE,LA,70005,,,,,,EUREKA HMSTD,METAIRIE,LA,99211,0,2,113,N
2015,0000703218,1,23-1692415,POLONIA BANK,3993 HUNTINGDON PIKE,HUNTINGDON VALLEY,PA,19006,,,,,,POLONIA BK,HUNTINGDON VALLEY,PA,308277,0,1,445,N
2015,0000703235,1,39-0462655,TIME FEDERAL SAVINGS BANK,675 EAST BROADWAY AVENUE,MEDFORD,WI,54451,,,,,,TIME FSB,MEDFORD,WI,619962,0,3,747,N
2015,0000703267,1,61-0385463,WINCHESTER FEDERAL BANK,57 SOUTH MAIN STREET,WINCHESTER,KY,40391,WINFIRST FINANCIAL CORPORATION,57 SOUTH MAIN STREET,WINCHESTER,KY,40391,WINCHESTER FED BK,WINCHESTER,KY,163499,0,3,109,N
2015,0000703280,1,31-0423305,RIPLEY FEDERAL SAVINGS BANK,1006 S. SECOND ST. P.O. BOX 220,RIPLEY,OH,45167,,,,,,RIPLEY FED SVG BK,RIPLEY,OH,65622,0,3,89,N
2015,0000703313,1,34-4233110,FIRST FEDERAL S & L OF DELTA,404 MAIN STREET,DELTA,OH,43515,,,,,,FIRST FS&LA,DELTA,OH,162194,0,3,181,N
2015,0000703395,1,36-1255545,ILLINOIS SERVICE FED S&LA,4619 S KING DR,CHICAGO,IL,60653,,,,,,ILLINOIS-SERVICE FS&LA,CHICAGO,IL,114189,0,3,25,N
2015,0000703468,1,36-1559567,NORTH SIDE FEDERAL SAVINGS,5159 N CLARK STREET,CHICAGO,IL,60640-2829,,,,,,NORTH SIDE FS&LA,CHICAGO,IL,45492,0,3,16,N
2015,0000703519,1,47-0465799,HOME FEDERAL S&L ASSN,221 S LOCUST ST,GRAND ISLAND,NE,68801,,,,,,HOME FS&LA,GRAND ISLAND,NE,235503,0,4,550,N
2015,0000703536,1,34-0220715,FIRST FEDERAL OF LAKEWOOD,14806 DETROIT AVENUE,LAKEWOOD,OH,44107,,,,,,FIRST FS&LA,LAKEWOOD,OH,1555971,0,3,5704,N
2015,0000703552,1,15-0238161,SENECA FEDERAL S&L ASSOCIATION,35 OSWEGO STREET,BALDWINSVILLE,NY,13027,,,,,,SENECA FS & LA,BALDWINSVILLE,NY,130285,0,1,246,N
2015,0000703575,1,58-0368410,NEWTON FEDERAL BANK,3175 HWY 278 NE,COVINGTON,GA,30014,,,,,,NEWTON FED BK,COVINGTON,GA,224712,0,2,239,N
2015,0000703587,1,31-4178880,FIDELITY FS AND LA OF DE,60 N SANDUSKY ST,DELAWARE,OH,43015,,,,,,FIDELITY FS&LA OF DE,DELAWARE,OH,102166,0,3,67,N
2015,0000703676,1,35-0298350,UNITED FIDELITY BANK  FSB,18 N.W. FOURTH STREET,EVANSVILLE,IN,47708,FIDELITY FEDERAL BANKCORP,18 N.W. FOURTH STREET,EVANSVILLE,IN,47708,UNITED FIDELITY BK FSB,EVANSVILLE,IN,240007,0,3,114,N
2015,0000703691,1,72-0308220,HERITAGE BANK OF ST TAMMANY,205 N COLUMBIA STREET,COVINGTON,LA,70433,,,,,,HERITAGE BK OF ST TAMMANY,COVINGTON,LA,88896,0,2,151,N
2015,0000703692,1,31-0381740,MONROE FEDERAL SAVINGS & LOAN,PO BOX 119,TIPP CITY,OH,45371,,,,,,MONROE FS&LA,TIPP CITY,OH,90383,0,3,12,N
2015,0000703758,1,52-0465075,ROSEDALE FEDERAL SAV & LOAN,9616 BELAIR RD,BALTIMORE,MD,21236,,,,,,ROSEDALE FS&LA,NOTTINGHAM,MD,798890,0,1,376,N
